ezloophw-py logger started on:,2023-4-5_103045
ctrl_params:,{'duty_min': -0.8, 'duty_max': 0.8, 'ctrl_period': 200, 'numsteps': 100.0, 'kp': [0.008, 0.008], 'ki': [5e-08, 5e-08], 'kw': [0.0, 0.0], 'setpoint': [0.0, 0.0], 'u_setpoint': [0.0, 0.0], 'supervisor_gamma': [0.2, 0.2], 'temp_constraint': [115.0, 115.0], 'temp_control_mode': 'closeloop', 'trajfilepath': None, 'read_traj': False, 'read_u_traj': True, 'u_trajfilepath': './input_traj/2_limb_control_input/test_sma1_limb1.csv', 'n_limb': 2}
Timestamp (millisec since midnight today),Test time,pwm_duty_limb0_fwd,pwm_duty_limb0_rev,pwm_duty_limb1_fwd,pwm_duty_limb1_rev,unconstrained_pwm_duty_lim0_fwd,unconstrained_pwm_duty_lim0_rev,unconstrained_pwm_duty_lim1_fwd,unconstrained_pwm_duty_lim1_rev,u_setpoint_limb0,u_setpoint_limb1,temp_limit,Bendlabs_0,Bendlabs_1,MCPtemp_0,MCPtemp_1,MCPtemp_2,MCPtemp_3,tagid_x_101,tagid_y_101,tagid_x_102,tagid_y_102,tagid_x_103,tagid_y_103,tagid_x_104,tagid_y_104,tagid_x_105,tagid_y_105,tagid_x_106,tagid_y_106,tagid_x_107,tagid_y_107,tagid_x_108,tagid_y_108,tagid_x_109,tagid_y_109
37848949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,20.81,21.06,22.19,22.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37849149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,20.81,21.06,22.19,22.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37849349,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,21.06,21.06,22.19,22.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37849549,0.399000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,21.06,21.06,22.19,22.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37849749,0.599000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,21.06,21.0,22.19,22.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37849949,0.803000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,21.06,21.0,22.19,22.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37850149,0.999000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.000000,0.0,0.0,21.06,21.0,22.19,22.56,35.6416695040605,54.035734896565415,111.74027672147443,69.78725947433634,171.19900590543466,94.66097298729379,0.0,0.0,0.0,0.0,351.2651399361909,213.01855732762243,0.0,0.0,0.0,0.0,494.96673778145896,321.6349127732578
37850349,1.200000,0.000000,0.350000,0.000000,0.000000,0.000000,0.350000,0.000000,0.000000,-0.350000,0.000000,115.000000,0.0,0.0,20.81,21.0,22.44,22.88,33.87022527865207,52.55199117735111,110.41513346475922,68.66591939927461,170.34642996022296,93.57633722101203,227.08636396075426,125.49639546925972,288.6513874479103,166.47132674386248,351.5693712948271,212.3700178424188,405.3087819381538,250.70496804306933,448.8615733537576,285.6936509022471,495.9913037684593,322.0494822883598
37850549,1.400000,0.000000,0.350000,0.000000,0.000000,0.000000,0.350000,0.000000,0.000000,-0.350000,0.000000,115.000000,0.0,0.0,20.81,21.0,22.44,22.88,34.560312261625164,52.907892099010276,110.92189554519487,69.03641996309604,170.79618613664417,93.9428843363527,227.29146178068618,125.66793376309535,288.92683485034223,166.4576089580259,351.7863902114708,212.14228392589473,405.4870516571057,250.31878788789246,449.005656875078,285.16069902590397,496.65390951418317,320.84552533122235
37850749,1.599000,0.000000,0.350000,0.000000,0.000000,0.000000,0.350000,0.000000,0.000000,-0.350000,0.000000,115.000000,0.0,0.0,20.81,21.06,22.44,22.56,34.59825353465079,52.91403133666416,110.91050992797832,69.0767877833057,170.82736338811029,93.96189513116965,227.4012559100143,125.62061744077492,288.9532750752889,166.2738479385297,351.9730972349217,211.77284189768812,405.68909473504596,249.75850816078335,449.2718166596903,284.6327348007676,496.9912637424169,320.14327106305217
